revenue_id,contract_id,month_date,recognized_revenue,invoice_status
1,1,2022-04-01,4250.0,Paid
2,1,2022-05-01,4250.0,Paid
3,1,2022-06-01,4250.0,Paid
4,1,2022-07-01,4250.0,Paid
5,1,2022-08-01,4250.0,Paid
6,1,2022-09-01,4250.0,Paid
7,1,2022-10-01,4250.0,Paid
8,1,2022-11-01,4250.0,Paid
9,1,2022-12-01,4250.0,Paid
10,1,2023-01-01,4250.0,Paid
11,1,2023-02-01,4250.0,Pending
12,1,2023-03-01,4250.0,Pending
13,1,2023-04-01,4250.0,Paid
14,1,2023-05-01,4250.0,Paid
15,1,2023-06-01,4250.0,Paid
16,1,2023-07-01,4250.0,Paid
17,1,2023-08-01,4250.0,Paid
18,1,2023-09-01,4250.0,Paid
19,1,2023-10-01,4250.0,Paid
20,1,2023-11-01,4250.0,Paid
21,1,2023-12-01,4250.0,Paid
22,1,2024-01-01,4250.0,Paid
23,1,2024-02-01,4250.0,Paid
24,1,2024-03-01,4250.0,Paid
25,1,2024-04-01,4250.0,Paid
26,1,2024-05-01,3944.96,Paid
27,1,2024-06-01,4250.0,Paid
28,1,2024-07-01,4250.0,Paid
29,1,2024-08-01,4250.0,Paid
30,1,2024-09-01,3956.54,Paid
31,1,2024-10-01,4250.0,Paid
32,1,2024-11-01,4250.0,Paid
33,1,2024-12-01,4250.0,Paid
34,1,2025-01-01,4250.0,Paid
35,1,2025-02-01,4250.0,Paid
36,1,2025-03-01,4250.0,Paid
37,1,2025-04-01,4250.0,Paid
38,1,2025-05-01,4250.0,Paid
39,1,2025-06-01,4250.0,Paid
40,1,2025-07-01,4250.0,Paid
41,1,2025-08-01,4250.0,Paid
42,1,2025-09-01,4250.0,Paid
43,1,2025-10-01,4250.0,Paid
44,1,2025-11-01,4250.0,Paid
45,1,2025-12-01,4250.0,Paid
46,1,2026-01-01,4250.0,Paid
47,1,2026-02-01,4250.0,Paid
48,1,2026-03-01,4250.0,Paid
49,1,2026-04-01,4250.0,Paid
50,2,2021-07-01,2850.0,Paid
51,2,2021-08-01,2850.0,Paid
52,2,2021-09-01,2850.0,Paid
53,2,2021-10-01,2850.0,Paid
54,2,2021-11-01,2850.0,Paid
55,2,2021-12-01,2758.5,Paid
56,2,2022-01-01,2850.0,Paid
57,2,2022-02-01,2850.0,Paid
58,2,2022-03-01,2850.0,Paid
59,2,2022-04-01,2850.0,Paid
60,2,2022-05-01,2850.0,Paid
61,2,2022-06-01,2850.0,Paid
62,2,2022-07-01,2850.0,Paid
63,2,2022-08-01,2850.0,Paid
64,2,2022-09-01,2850.0,Disputed
65,2,2022-10-01,2850.0,Paid
66,2,2022-11-01,2850.0,Disputed
67,2,2022-12-01,2850.0,Disputed
68,2,2023-01-01,2850.0,Paid
69,2,2023-02-01,2850.0,Paid
70,2,2023-03-01,2850.0,Paid
71,2,2023-04-01,2850.0,Disputed
72,2,2023-05-01,2850.0,Paid
73,2,2023-06-01,2850.0,Paid
74,2,2023-07-01,2850.0,Paid
75,2,2023-08-01,2850.0,Paid
76,2,2023-09-01,2850.0,Paid
77,2,2023-10-01,2850.0,Paid
78,2,2023-11-01,2850.0,Paid
79,2,2023-12-01,2850.0,Paid
80,2,2024-01-01,2850.0,Paid
81,2,2024-02-01,2850.0,Paid
82,3,2024-04-01,5000.0,Paid
83,3,2024-05-01,5000.0,Pending
84,3,2024-06-01,5000.0,Paid
85,3,2024-07-01,5000.0,Paid
86,3,2024-08-01,5000.0,Paid
87,3,2024-09-01,5000.0,Paid
88,3,2024-10-01,5000.0,Pending
89,3,2024-11-01,5000.0,Paid
90,3,2024-12-01,5000.0,Pending
91,3,2025-01-01,5000.0,Paid
92,3,2025-02-01,5000.0,Paid
93,3,2025-03-01,5000.0,Paid
94,3,2025-04-01,5000.0,Paid
95,3,2025-05-01,5000.0,Paid
96,3,2025-06-01,5000.0,Paid
97,3,2025-07-01,5000.0,Paid
98,3,2025-08-01,5000.0,Paid
99,3,2025-09-01,5000.0,Paid
100,3,2025-10-01,5000.0,Paid
101,3,2025-11-01,5000.0,Paid
102,3,2025-12-01,5000.0,Paid
103,3,2026-01-01,5000.0,Paid
104,3,2026-02-01,5000.0,Paid
105,3,2026-03-01,5000.0,Paid
106,3,2026-04-01,5000.0,Paid
107,4,2022-11-01,3000.0,Paid
108,4,2022-12-01,3000.0,Paid
109,4,2023-01-01,3000.0,Paid
110,4,2023-02-01,3000.0,Paid
111,4,2023-03-01,3000.0,Paid
112,4,2023-04-01,3000.0,Paid
113,4,2023-05-01,3000.0,Paid
114,4,2023-06-01,3000.0,Paid
115,4,2023-07-01,3000.0,Paid
116,4,2023-08-01,3000.0,Paid
117,4,2023-09-01,3000.0,Paid
118,4,2023-10-01,3000.0,Paid
119,4,2023-11-01,2709.34,Paid
120,4,2023-12-01,3000.0,Paid
121,4,2024-01-01,3000.0,Paid
122,4,2024-02-01,3000.0,Paid
123,4,2024-03-01,3000.0,Paid
124,4,2024-04-01,3000.0,Paid
125,4,2024-05-01,2779.5,Paid
126,4,2024-06-01,3000.0,Paid
127,4,2024-07-01,3000.0,Paid
128,4,2024-08-01,3000.0,Paid
129,4,2024-09-01,3000.0,Paid
130,4,2024-10-01,3000.0,Paid
131,4,2024-11-01,3000.0,Paid
132,4,2024-12-01,3000.0,Paid
133,4,2025-01-01,3000.0,Paid
134,4,2025-02-01,3000.0,Paid
135,5,2023-06-01,2850.0,Paid
136,5,2023-07-01,2850.0,Paid
137,5,2023-08-01,2850.0,Paid
138,5,2023-09-01,2850.0,Paid
139,5,2023-10-01,2850.0,Paid
140,5,2023-11-01,2850.0,Paid
141,5,2023-12-01,2850.0,Paid
142,5,2024-01-01,2850.0,Disputed
143,5,2024-02-01,2850.0,Paid
144,5,2024-03-01,2850.0,Paid
145,5,2024-04-01,2850.0,Paid
146,5,2024-05-01,2850.0,Paid
147,5,2024-06-01,2850.0,Paid
148,5,2024-07-01,2850.0,Disputed
149,5,2024-08-01,2850.0,Paid
150,5,2024-09-01,2850.0,Paid
151,5,2024-10-01,2850.0,Paid
152,5,2024-11-01,2850.0,Paid
153,5,2024-12-01,2850.0,Paid
154,5,2025-01-01,2850.0,Paid
155,5,2025-02-01,2850.0,Paid
156,5,2025-03-01,2850.0,Paid
157,5,2025-04-01,2850.0,Paid
158,5,2025-05-01,2850.0,Paid
159,5,2025-06-01,2850.0,Paid
160,5,2025-07-01,2850.0,Paid
161,5,2025-08-01,2850.0,Pending
162,5,2025-09-01,2850.0,Pending
163,5,2025-10-01,2755.65,Paid
164,5,2025-11-01,2850.0,Paid
165,5,2025-12-01,2633.03,Pending
166,5,2026-01-01,2850.0,Paid
167,5,2026-02-01,2850.0,Paid
168,5,2026-03-01,2850.0,Paid
169,5,2026-04-01,2850.0,Paid
170,6,2021-12-01,5000.0,Paid
171,6,2022-01-01,5000.0,Paid
172,6,2022-02-01,5000.0,Paid
173,6,2022-03-01,5000.0,Paid
174,6,2022-04-01,5000.0,Paid
175,6,2022-05-01,5000.0,Paid
176,6,2022-06-01,5000.0,Paid
177,6,2022-07-01,5000.0,Paid
178,6,2022-08-01,5000.0,Paid
179,6,2022-09-01,5000.0,Paid
180,6,2022-10-01,5000.0,Paid
181,6,2022-11-01,5000.0,Pending
182,6,2022-12-01,5000.0,Disputed
183,6,2023-01-01,5000.0,Disputed
184,6,2023-02-01,5000.0,Pending
185,6,2023-03-01,5000.0,Paid
186,6,2023-04-01,5000.0,Paid
187,6,2023-05-01,5000.0,Paid
188,6,2023-06-01,5000.0,Paid
189,6,2023-07-01,5000.0,Paid
190,6,2023-08-01,5000.0,Paid
191,6,2023-09-01,5000.0,Paid
192,6,2023-10-01,5000.0,Paid
193,6,2023-11-01,5000.0,Paid
194,6,2023-12-01,5000.0,Paid
195,6,2024-01-01,5000.0,Paid
196,6,2024-02-01,4587.16,Paid
197,6,2024-03-01,5000.0,Paid
198,6,2024-04-01,5000.0,Paid
199,6,2024-05-01,5000.0,Paid
200,6,2024-06-01,5000.0,Disputed
201,6,2024-07-01,5000.0,Paid
202,6,2024-08-01,5000.0,Paid
203,6,2024-09-01,5000.0,Paid
204,6,2024-10-01,5000.0,Disputed
205,6,2024-11-01,5000.0,Disputed
206,6,2024-12-01,5000.0,Disputed
207,6,2025-01-01,5000.0,Paid
208,6,2025-02-01,5000.0,Paid
209,6,2025-03-01,5000.0,Paid
210,6,2025-04-01,5000.0,Paid
211,6,2025-05-01,5000.0,Paid
212,6,2025-06-01,5000.0,Paid
213,6,2025-07-01,5000.0,Paid
214,6,2025-08-01,5000.0,Paid
215,6,2025-09-01,5000.0,Paid
